STT,key,id,day,start,count,room,teacher,class,member,name,weight,week
1123,FL001,M07,4,4,2,CLC3FL,,FL001M07,40,Pháp văn căn bản 1 (*),4,12**5678901234567***
1124,FL001,M07,3,1,2,CLC9FL,,FL001M07,40,Pháp văn căn bản 1 (*),4,12**5678901234567***
1125,FL002,M01,6,1,3,CLC7FL,,FL002M01,40,Pháp văn căn bản 2 (*),3,12**5678901234567***
1126,FL002,M02,2,1,3,CLC5FL,,FL002M02,40,Pháp văn căn bản 2 (*),3,12**5678901234567***
1127,FL002,M03,5,6,3,CLC1FL,,FL002M03,40,Pháp văn căn bản 2 (*),3,12**5678901234567***
1128,FL002,M04,3,3,3,CLC9FL,,FL002M04,40,Pháp văn căn bản 2 (*),3,12**5678901234567***
1129,FL002H,M01,4,4,2,204/TS,,NN2008F1,47,Nghe và Nói 2,2,12**5678901234567***
1130,FL002H,M02,5,4,2,104/KT,,KT2021F1,41,Nghe và Nói 2,2,12**5678901234567***
1131,FL002H,M03,4,4,2,105/KT,,KT2021F2,41,Nghe và Nói 2,2,12**5678901234567***
1132,FL002H,M04,6,4,2,103/KT,,KT2021F3,40,Nghe và Nói 2,2,12**5678901234567***
1133,FL002H,M05,6,1,2,204/TS,,DA2066T1,46,Nghe và Nói 2,2,12**5678901234567***
1134,FL002H,M06,3,1,2,406/D2,,TN20T5F1,40,Nghe và Nói 2,2,12**5678901234567***
1135,FL002H,M07,3,6,2,406/D2,,TN20T7F1,49,Nghe và Nói 2,2,12**5678901234567***
1136,FL002H,M08,3,8,2,CLC3DI,,DI20V7F1,34,Nghe và Nói 2,2,12**5678901234567***
1137,FL002H,M09,3,4,2,LT1/DI,,DI20V7F2,40,Nghe và Nói 2,2,12**5678901234567***
1138,FL002H,M10,4,4,2,LT1/DI,,DI20V7F3,35,Nghe và Nói 2,2,12**5678901234567***
1139,FL002H,M11,4,4,2,LT2/DI,,DI20V7F4,34,Nghe và Nói 2,2,12**5678901234567***
1140,FL002H,M12,3,4,2,103/KT,,KT20W4F1,40,Nghe và Nói 2,2,12**5678901234567***
1141,FL002H,M13,2,6,2,105/KT,,KT20W4F2,40,Nghe và Nói 2,2,12**5678901234567***
1142,FL002H,M14,5,1,2,103/KT,,KT20W4F3,40,Nghe và Nói 2,2,12**5678901234567***
1143,FL002H,M15,4,4,2,106/KT,,KT20W4F4,40,Nghe và Nói 2,2,12**5678901234567***
1144,FL002H,M16,4,4,2,107/KT,,KT20W4F5,40,Nghe và Nói 2,2,12**5678901234567***
1145,FL003,H01,6,2,3,103HA5,,19V1A6,45,Pháp văn căn bản 3 (*),3,12**5678901234567***
1146,FL003,H02,5,6,3,301HA5,,19V1A5,45,Pháp văn căn bản 3 (*),3,12**5678901234567***
1147,FL003,M01,6,3,3,CLC6FL,,FL19V1F1,41,Pháp văn căn bản 3 (*),3,12**5678901234567***
1148,FL003,M02,5,1,3,CLC5FL,,FL19V1F2,41,Pháp văn căn bản 3 (*),3,12**5678901234567***
1149,FL003,M03,4,1,3,402/D2,,FL19V1F3,41,Pháp văn căn bản 3 (*),3,12**5678901234567***
1150,FL003,M04,5,1,3,CLC8FL,,FL19V1F4,41,Pháp văn căn bản 3 (*),3,12**5678901234567***
1151,FL003,M05,3,6,3,CLC9FL,,FL003M05,41,Pháp văn căn bản 3 (*),3,12**5678901234567***
1152,FL004H,M01,5,8,2,403/D2,,NN2008F1,47,Đọc hiểu 2,2,12**5678901234567***
1153,FL004H,M02,6,4,2,105/KT,,KT2021F1,41,Đọc hiểu 2,2,12**5678901234567***
1154,FL004H,M03,3,8,2,201/KT,,KT2021F2,41,Đọc hiểu 2,2,12**5678901234567***
1155,FL004H,M04,3,6,2,103/KT,,KT2021F3,40,Đọc hiểu 2,2,12**5678901234567***
1156,FL004H,M05,3,8,2,404/D2,,DA2066T1,46,Đọc hiểu 2,2,12**5678901234567***
1157,FL004H,M06,5,4,2,CLC1CN,,TN20T5F1,40,Đọc hiểu 2,2,12**5678901234567***
1158,FL004H,M07,5,6,2,406/D2,,TN20T7F1,49,Đọc hiểu 2,2,12**5678901234567***
1159,FL004H,M08,5,1,2,LT1/DI,,DI20V7F1,34,Đọc hiểu 2,2,12**5678901234567***
1160,FL004H,M09,5,3,2,LT1/DI,,DI20V7F2,40,Đọc hiểu 2,2,12**5678901234567***
1161,FL004H,M10,3,6,2,LT1/DI,,DI20V7F3,35,Đọc hiểu 2,2,12**5678901234567***
1162,FL004H,M11,2,3,2,LT1/DI,,DI20V7F4,34,Đọc hiểu 2,2,12**5678901234567***
1163,FL004H,M12,5,3,2,401/D2,,KT20W4F1,40,Đọc hiểu 2,2,12**5678901234567***
1164,FL004H,M13,2,4,2,106/KT,,KT20W4F2,40,Đọc hiểu 2,2,12**5678901234567***
1165,FL004H,M14,6,4,2,202/KT,,KT20W4F3,40,Đọc hiểu 2,2,12**5678901234567***
1166,FL004H,M15,5,4,2,202/KT,,KT20W4F4,40,Đọc hiểu 2,2,12**5678901234567***
1167,FL004H,M16,5,1,2,106/KT,,KT20W4F5,40,Đọc hiểu 2,2,12**5678901234567***
